"","BirdID","chickyear","ars","SexEstimate"
"121",64,1987,0,0
"2110",64,1988,0,0
"31",64,1989,0,0
"41",64,1990,0,0
"51",64,1991,0,0
"1642",64,1993,1,0
"2350",64,1994,2,0
"81",64,1995,0,0
"91",64,1996,0,0
"101",64,1997,0,0
"111",64,1998,0,0
"131",71,1987,0,0
"2210",71,1988,0,0
"32",71,1989,0,0
"42",71,1990,0,0
"52",71,1991,0,0
"3272",71,1993,1,0
"141",82,1987,0,0
"23",82,1988,0,0
"33",82,1989,0,0
"43",82,1990,0,0
"53",82,1991,0,0
"4282",82,1993,2,0
"151",163,1988,0,0
"24",163,1989,0,0
"34",163,1990,0,0
"44",163,1991,0,0
"5240",163,1993,1,0
"6214",163,1994,2,0
"71",163,1995,0,0
"7194",163,1996,1,0
"92",163,1997,0,0
"102",163,1998,0,0
"112",163,1999,0,0
"161",168,1989,0,0
"25",168,1990,0,0
"35",168,1991,0,0
"45",168,1993,0,0
"8175",168,1994,1,0
"61",168,1995,0,0
"9146",168,1996,1,0
"10109",168,1997,1,0
"93",168,1998,0,0
"11162",168,1999,2,0
"113",168,2000,0,0
"122",168,2001,0,0
"1710",169,1989,0,0
"26",169,1990,0,0
"36",169,1991,0,0
"46",169,1993,0,0
"54",169,1994,0,0
"12128",169,1995,1,0
"72",169,1996,0,0
"82",169,1997,0,0
"94",169,1998,0,0
"13105",169,1999,1,0
"118",169,2000,0,0
"1810",171,1989,0,0
"27",171,1990,0,0
"37",171,1991,0,0
"47",171,1993,0,0
"14100",171,1994,1,0
"15100",171,1995,1,0
"73",171,1996,0,0
"1643",171,1997,1,0
"95",171,1998,0,0
"1910",172,1989,0,0
"28",172,1990,0,0
"38",172,1991,0,0
"48",172,1993,0,0
"55",172,1994,0,0
"1719",172,1995,1,0
"74",172,1996,0,0
"83",172,1997,0,0
"110",189,1989,0,0
"29",189,1990,0,0
"39",189,1991,0,0
"1815",189,1993,1,0
"114",199,1987,0,0
"210",199,1988,0,0
"310",199,1989,0,0
"49",199,1990,0,0
"56",199,1991,0,0
"1913",199,1993,1,NA
"2010",199,1994,1,NA
"21100",199,1995,1,NA
"96",199,1996,0,0
"22100",199,1997,1,NA
"2351",199,1998,1,NA
"2410",199,1999,2,NA
"142",199,2000,0,0
"152",199,2001,0,0
"1610",199,2002,0,0
"132",199,2003,0,0
"115",207,1988,0,0
"211",207,1989,0,0
"311",207,1990,0,0
"410",207,1991,0,0
"2510",207,1992,2,0
"57",207,1993,0,0
"62",207,1994,0,0
"75",207,1995,0,0
"84",207,1996,0,0
"97",207,1997,0,0
"116",213,1988,0,0
"212",213,1989,0,0
"312",213,1990,0,0
"411",213,1991,0,0
"2610",213,1993,1,0
"2710",213,1994,2,0
"117",217,1988,0,0
"213",217,1989,0,0
"313",217,1990,0,0
"412",217,1991,0,0
"58",217,1993,0,0
"63",217,1994,0,0
"2810",217,1995,1,0
"2910",217,1996,1,0
"119",297,1989,0,0
"214",297,1990,0,0
"314",297,1991,0,0
"30",297,1993,3,0
"31100",297,1994,3,0
"64",297,1995,0,0
"3273",297,1996,2,0
"3310",297,1997,1,0
"98",297,1998,0,0
"3410",297,1999,1,0
"1110",297,2000,0,0
"123",297,2001,0,0
"120",308,1990,0,0
"215",308,1991,0,0
"315",308,1993,0,0
"3510",308,1994,1,0
"3610",308,1995,1,0
"3710",308,1996,1,0
"3810",308,1997,2,0
"3910",308,1998,1,0
"99",308,1999,0,0
"40",308,2000,1,0
"1111",308,2001,0,0
"41100",308,2002,1,0
"124",428,1981,0,0
"216",428,1982,0,0
"316",428,1983,0,0
"413",428,1984,0,0
"59",428,1985,0,0
"65",428,1986,0,0
"76",428,1987,0,0
"85",428,1988,0,0
"910",428,1989,0,0
"103",428,1990,0,0
"1112",428,1991,0,0
"127",428,1993,0,0
"4283",428,1994,1,0
"125",430,1985,0,0
"217",430,1986,0,0
"317",430,1987,0,0
"414",430,1988,0,0
"510",430,1989,0,0
"66",430,1990,0,0
"77",430,1991,0,0
"4310",430,1993,1,0
"911",430,1994,0,0
"126",440,1993,0,0
"4410",440,1994,1,0
"128",441,1993,0,0
"218",441,1994,0,0
"4510",441,1995,2,0
"415",441,1996,0,0
"4610",441,1997,1,0
"4710",441,1998,1,0
"78",441,1999,0,0
"1113",441,2000,0,0
"1210",441,2001,0,0
"1310",441,2002,0,0
"86",441,2003,0,0
"912",441,2004,0,0
"104",441,2005,0,0
"143",441,2006,0,0
"153",441,2007,0,0
"129",442,1993,0,0
"219",442,1994,0,0
"318",442,1995,0,0
"416",442,1996,0,0
"511",442,1997,0,0
"67",442,1998,0,0
"4810",442,1999,1,0
"913",442,2000,0,0
"105",442,2001,0,0
"1114",442,2002,0,0
"87",442,2003,0,0
"130",443,1993,0,0
"4910",443,1994,1,0
"50",443,1995,1,0
"133",444,1993,0,0
"51100",444,1994,1,0
"319",444,1995,0,0
"417",444,1996,0,0
"512",444,1997,0,0
"5241",444,1998,1,0
"5310",444,1999,1,0
"88",444,2000,0,0
"5410",444,2001,1,0
"106",444,2002,0,0
"5510",447,1993,1,0
"5610",447,1994,1,0
"320",447,1995,0,0
"418",447,1996,0,0
"513",447,1997,0,0
"68",447,1998,0,0
"79",447,1999,0,0
"89",447,2000,0,0
"134",450,1993,0,0
"5710",450,1994,1,0
"321",450,1995,0,0
"5810",450,1996,2,0
"514",450,1997,0,0
"69",450,1998,0,0
"5910",450,1999,1,0
"810",450,2000,0,0
"135",451,1993,0,0
"60",451,1994,1,0
"136",454,1993,0,0
"61100",454,1994,1,0
"6215",454,1995,2,0
"6310",454,1996,2,0
"6410",454,1997,2,0
"610",454,1998,0,0
"710",454,1999,0,0
"914",454,2000,0,0
"107",454,2001,0,0
"1115",454,2002,0,0
"811",454,2003,0,0
"137",455,1993,0,0
"220",455,1994,0,0
"322",455,1995,0,0
"419",455,1996,0,0
"6510",455,1997,2,0
"138",457,1993,0,0
"221",457,1994,0,0
"6610",457,1995,1,0
"420",457,1996,0,0
"515",457,1997,0,0
"6710",457,1998,1,0
"711",457,1999,0,0
"139",458,1993,0,0
"222",458,1994,0,0
"323",458,1995,0,0
"6810",458,1996,1,0
"6910",458,1997,1,0
"611",458,1998,0,0
"70",458,1999,1,0
"1116",458,2000,0,0
"1211",458,2001,0,0
"7195",458,2002,1,0
"7210",458,2003,1,0
"915",458,2004,0,0
"108",458,2005,0,0
"140",459,1993,0,0
"7310",459,1994,1,0
"7410",459,1995,1,0
"7510",459,1996,1,0
"7610",459,1997,1,0
"612",459,1998,0,0
"7710",459,1999,3,0
"1117",459,2000,0,0
"1212",459,2001,0,0
"1311",459,2002,0,0
"7810",459,2003,1,0
"916",459,2004,0,0
"109",459,2005,0,0
"1410",459,2006,0,0
"154",459,2007,0,0
"7910",462,1993,1,0
"223",462,1994,0,0
"324",462,1995,0,0
"421",462,1996,0,0
"516",462,1997,0,0
"613",462,1998,0,0
